nombre,fecha_nacimiento,nacionalidad
Silvia Macías,2005-06-02,Italiano
Adriana Agustín Lara,1995-01-04,Brasileno
Mariana Noelia Ontiveros,1975-04-07,Colombiano
Dr. Elsa Corona,1951-11-09,Espanol
Sr(a). Abigail Almonte,1976-01-09,Frances
Sr(a). Oswaldo Portillo,1969-05-19,Argentino
Esther Barbara Vera Escamilla,1957-02-13,Italiano
Paola Sevilla Robles,1988-04-16,Peruano
Claudia Naranjo,2000-12-28,Aleman
Sr(a). María Eugenia Saldivar,1985-03-04,Chileno
Silvano Óliver Granado,1999-01-07,Japones
Zacarías Timoteo Vaca,2005-03-21,Coreano
Verónica Barbara Anaya Olivera,1956-11-07,Britanico
Alta  Gracia Negrete Echeverría,1988-02-19,Estadounidense
Dr. Lourdes Huerta,1998-05-14,Coreano
Rocío Helena Caldera Escalante,1991-08-04,Venezolano
Socorro Arevalo Avilés,1995-02-17,Venezolano
Salvador Ricardo Armas,1956-06-17,Estadounidense
Adela Lozano,1950-07-14,Estadounidense
Magdalena Abreu,1967-10-05,Estadounidense
Itzel Paz Luevano,1981-09-25,Chileno
Daniel Magdalena Galindo Partida,1980-01-27,Argentino
Mauricio Crespo Valles,1966-05-21,Chileno
Jacobo Javier Zamudio,1966-03-12,Peruano
Clemente Candelaria,1993-12-14,Estadounidense
Rafaél Gurule Benavides,2002-05-20,Chileno
David Ulloa,1950-02-06,Argentino
Adán Vela,1951-08-07,Espanol
Rosalia Nancy Flores,1952-04-20,Venezolano
Eloisa Henríquez Gastélum,1987-08-08,Argentino
Ariadna Alarcón,1962-04-05,Mexicano
Carmen Pamela Dávila,1986-11-09,Colombiano
Aldo Granados,1958-03-22,Peruano
Uriel Héctor Ávalos Carrillo,1950-05-15,Japones
Miguel Rosario Barragán,1958-12-16,Venezolano
Dolores Vargas,1993-10-12,Italiano
Alberto Susana Méndez Santiago,1967-06-14,Italiano
Indira Enrique Paz Lemus,1960-11-15,Estadounidense
Juan Jaramillo,1997-09-14,Espanol
Hugo Victoria Garica Rodrígez,2004-07-29,Estadounidense
Esteban Solano Soto,1995-02-27,Brasileno
Luisa Perea,1985-05-20,Peruano
Aurora Miguel Ángel Carrero Colunga,1969-05-22,Estadounidense
Diego Miriam Ballesteros,1992-12-18,Peruano
Cristian Jorge Ontiveros,1985-04-06,Britanico
Clemente Rosado,1980-05-17,Japones
Dr. Verónica Rendón,1996-02-23,Chileno
Mateo Martínez,1976-09-08,Britanico
Yuridia Girón Rojo,1991-03-03,Coreano
Lic. César Meraz,1950-08-01,Britanico
Irma Ureña,2006-02-08,Venezolano
Ing. Andrea Tapia,1950-10-08,Mexicano
Mtro. Barbara Almanza,1951-04-15,Japones
Lic. Martha Aguilera,1956-07-04,Brasileno
Yuridia Escobar Casillas,1952-03-09,Peruano
Aurora Villagómez,1991-08-04,Italiano
Nancy Ignacio Aguilera,1980-02-25,Argentino
Esther Humberto Bétancourt,1950-02-26,Peruano
Ing. Amelia Correa,1974-12-28,Peruano
Marcela Inés Zarate,1980-09-05,Peruano
Estela Catalina Páez,1995-12-25,Aleman
Alvaro Márquez,1945-05-07,Argentino
Gloria Jáquez,1998-12-11,Britanico
Rosario Arellano Portillo,1996-11-29,Aleman
Cristina Cynthia Zavala Padilla,1945-06-20,Espanol
Rosalia Rincón Ruelas,1950-08-30,Frances
Guillermo Gaitán,1969-10-04,Peruano
María Eugenia Clara Medrano,1959-03-12,Brasileno
Sr(a). Hilda Ávalos,2003-12-22,Peruano
Frida Beatriz Reyna,1991-09-24,Espanol
Flavio de la Rosa,1969-07-01,Aleman
Sofía Berta Cortez,1997-10-17,Brasileno
Marisol Aranda,1984-12-09,Mexicano
Sr(a). Lilia Becerra,1988-09-11,Coreano
Gabino Sáenz Garay,1956-06-07,Frances
Felipe Alicia Frías,1971-01-17,Japones
Gabriela Alcala Carranza,1977-09-28,Italiano
Berta Ornelas Almaraz,1979-01-29,Colombiano
María Teresa Bermúdez,1980-05-15,Frances
Alfredo Lucas Flores Navarro,1956-12-22,Japones
Lic. Carmen Nava,1966-01-02,Venezolano
Gustavo Roberto Zúñiga,1967-08-23,Frances
Lucas Salvador Alonzo Jaimes,1966-03-16,Britanico
Gabriela Israel Ayala Alcántar,1948-01-05,Estadounidense
Sofía Puente,1970-11-24,Espanol
Raquel Elsa de Anda Pérez,1997-05-22,Italiano
Dr. Francisca Lovato,1996-09-21,Espanol
Mtro. Estela Báez,1974-07-07,Espanol
Gabriel Teodoro Toledo,1945-11-23,Venezolano
Mariana Andrea Montalvo Regalado,1983-11-14,Mexicano
Elisa Alfaro,1953-12-05,Brasileno
Esteban Rojo Enríquez,1996-10-05,Brasileno
Ing. Enrique Guevara,1957-06-26,Frances
Mtro. Alta  Gracia Botello,1979-12-14,Aleman
Alvaro Marisol Flores,1977-03-16,Britanico
Patricia Estefanía Cadena Magaña,1991-03-08,Brasileno
Mtro. Bruno Cazares,1990-08-28,Chileno
Mtro. Salma Mondragón,1986-03-29,Frances
Lic. Arturo Gamez,1980-07-16,Frances
María Cristina Garica Quiñónez,1946-06-13,Mexicano
