nombre,fecha_nacimiento,nacionalidad
Iván Padilla Briseño,1985-01-13,Venezolano
Ana Jesús Cardona,1993-03-20,Argentino
Alonso Leonel Contreras,1951-04-27,Argentino
Héctor Alcala,1965-12-18,Colombiano
Mtro. Pablo Sotelo,1968-04-24,Espanol
Cristal Natividad Paredes,1965-10-08,Colombiano
Sr(a). Eloy Urías,1984-01-16,Argentino
Sr(a). Zoé Rolón,1989-11-11,Britanico
Agustín Isabel Riojas Ybarra,1970-11-26,Espanol
Estela Díaz,1962-10-07,Japones
César Oswaldo Carrasco,1966-08-08,Colombiano
Carlota Yolanda Hidalgo Rentería,1974-06-25,Britanico
Jonás Dalia Valle Pelayo,1975-04-25,Estadounidense
Cornelio Mauro Quezada,1979-06-23,Coreano
María del Carmen Armas,1979-11-24,Japones
Humberto Lebrón,1995-08-07,Frances
Rafaél Segura Roque,1983-03-09,Venezolano
Violeta Diana Badillo,1986-04-14,Aleman
Rosario Méndez,1965-07-07,Colombiano
Gloria Monroy,1957-12-21,Japones
Carlos José Hidalgo,1967-06-20,Britanico
Elias Mónica Tafoya,1959-03-07,Frances
Mtro. Beatriz Gaytán,1967-06-10,Venezolano
Sr(a). Francisco Granado,1954-11-01,Colombiano
Sandra Preciado Luna,1972-01-24,Chileno
Gonzalo Jiménez,1946-07-20,Colombiano
Felix Estela Lomeli Angulo,1945-11-10,Estadounidense
Juana Loya,1970-02-01,Espanol
Judith Vargas,1946-04-15,Mexicano
José Manuél Figueroa Zepeda,1947-01-29,Frances
Isabel Alonso Reyna,1977-07-02,Estadounidense
Lic. Cristian Menchaca,1959-08-12,Espanol
Mauro Arriaga Batista,1986-10-03,Chileno
Nicolás Silvia Tapia,1980-04-13,Frances
Horacio Villa,1982-10-28,Aleman
Rafaél Omar Salinas,1949-07-06,Venezolano
Mateo Gabriel Solorzano,1957-08-08,Argentino
Octavio Luis Manuel Caballero Borrego,1946-01-22,Britanico
Mauro Ariadna Valadez,1966-06-06,Argentino
Socorro Gaytán Solano,1992-01-10,Britanico
José Emilio Luis Mena,1980-05-20,Frances
Lic. Mateo Leiva,1968-04-19,Italiano
Rodolfo Francisco Javier Marín Alarcón,1987-06-01,Mexicano
Dr. Karla Tirado,1971-08-07,Japones
Armando Genaro Carbajal Aguilera,1970-07-22,Peruano
Leonardo Camilo Lira Loya,1949-09-18,Venezolano
Jorge Luis Nelly Salgado,1972-07-02,Mexicano
Trinidad Montaño,1947-03-19,Peruano
Dolores Sotelo Loya,1971-01-11,Mexicano
Dr. Bianca Godínez,1976-05-06,Italiano
