email,genero,nivel_interes
nayeliroldan@example.com,Terror,3
nayeliroldan@example.com,Accion,3
zgurule@example.org,Comedia,4
zgurule@example.org,Animacion,4
moralesesperanza@example.net,Documental,1
moralesesperanza@example.net,Accion,2
segoviaarcelia@example.net,Romance,1
segoviaarcelia@example.net,Historia,4
segoviaarcelia@example.net,Terror,2
segoviaarcelia@example.net,Misterio,1
segoviaarcelia@example.net,Ciencia Ficcion,1
florencia61@example.org,Accion,2
florencia61@example.org,Fantasia,3
florencia61@example.org,Misterio,2
luiscamarillo@example.com,Drama,1
luiscamarillo@example.com,Deportes,5
maria-luisa51@example.org,Misterio,2
maria-luisa51@example.org,Terror,2
maria-luisa51@example.org,Documental,4
maria-luisa51@example.org,Musical,3
maria-luisa51@example.org,Aventura,4
jeronimojaquez@example.com,Misterio,4
jeronimojaquez@example.com,Ciencia Ficcion,4
jeronimojaquez@example.com,Aventura,1
jeronimojaquez@example.com,Thriller,1
jeronimojaquez@example.com,Deportes,5
gramon@example.net,Historia,1
gramon@example.net,Drama,2
gramon@example.net,Aventura,1
gramon@example.net,Thriller,5
gramon@example.net,Accion,2
ernestogarica@example.net,Misterio,4
ernestogarica@example.net,Documental,4
ernestogarica@example.net,Comedia,3
ernestogarica@example.net,Fantasia,5
ernestogarica@example.net,Historia,4
ortaesther@example.org,Fantasia,4
ortaesther@example.org,Accion,2
ortaesther@example.org,Misterio,3
ortaesther@example.org,Drama,5
ortaesther@example.org,Ciencia Ficcion,1
de-la-cruzabigail@example.com,Misterio,1
de-la-cruzabigail@example.com,Drama,4
de-la-cruzabigail@example.com,Musical,1
de-la-cruzabigail@example.com,Documental,1
micaela25@example.net,Animacion,4
micaela25@example.net,Deportes,5
micaela25@example.net,Musical,5
micaela25@example.net,Comedia,2
micaela25@example.net,Thriller,5
abril23@example.net,Animacion,2
abril23@example.net,Deportes,1
gabriel23@example.org,Musical,3
gabriel23@example.org,Animacion,4
gabriel23@example.org,Aventura,2
gabriel23@example.org,Fantasia,4
gabriel23@example.org,Accion,1
ramiro25@example.org,Musical,3
ramiro25@example.org,Animacion,2
wporras@example.org,Romance,4
wporras@example.org,Musical,3
jassomarco-antonio@example.net,Documental,5
jassomarco-antonio@example.net,Fantasia,4
jassomarco-antonio@example.net,Thriller,1
cgamboa@example.com,Animacion,5
cgamboa@example.com,Documental,1
nmagana@example.net,Aventura,2
nmagana@example.net,Ciencia Ficcion,5
nmagana@example.net,Drama,1
alfredo45@example.net,Fantasia,3
alfredo45@example.net,Deportes,1
alfredo45@example.net,Romance,1
alfredo45@example.net,Drama,1
alfredo45@example.net,Documental,4
msauceda@example.net,Drama,1
msauceda@example.net,Aventura,4
msauceda@example.net,Terror,5
luciacarrera@example.net,Aventura,2
luciacarrera@example.net,Drama,3
luciacarrera@example.net,Ciencia Ficcion,3
barrientosmariano@example.net,Misterio,4
barrientosmariano@example.net,Historia,2
barrientosmariano@example.net,Romance,4
barrientosmariano@example.net,Ciencia Ficcion,4
armandovaldez@example.com,Misterio,3
armandovaldez@example.com,Deportes,1
armandovaldez@example.com,Ciencia Ficcion,4
casanovamercedes@example.net,Musical,2
casanovamercedes@example.net,Historia,2
casanovamercedes@example.net,Romance,2
linda53@example.org,Drama,4
linda53@example.org,Historia,1
linda53@example.org,Deportes,3
marisolmunoz@example.com,Musical,5
marisolmunoz@example.com,Thriller,1
marisolmunoz@example.com,Accion,2
marisolmunoz@example.com,Drama,3
padillaoswaldo@example.org,Thriller,1
padillaoswaldo@example.org,Documental,4
tapiaconcepcion@example.org,Deportes,3
tapiaconcepcion@example.org,Animacion,1
tapiaconcepcion@example.org,Comedia,2
tapiaconcepcion@example.org,Ciencia Ficcion,2
citlalirobledo@example.net,Terror,3
citlalirobledo@example.net,Ciencia Ficcion,3
citlalirobledo@example.net,Deportes,2
citlalirobledo@example.net,Animacion,5
citlalirobledo@example.net,Aventura,5
indirasolorio@example.org,Romance,1
indirasolorio@example.org,Aventura,5
indirasolorio@example.org,Fantasia,5
marisol29@example.com,Musical,3
marisol29@example.com,Animacion,5
marisol29@example.com,Deportes,3
marisol29@example.com,Ciencia Ficcion,1
marisol29@example.com,Thriller,4
santiagoluevano@example.org,Historia,4
santiagoluevano@example.org,Terror,4
santiagoluevano@example.org,Documental,4
santiagoluevano@example.org,Misterio,3
santiagoluevano@example.org,Drama,3
pradocesar@example.org,Accion,5
pradocesar@example.org,Musical,1
pradocesar@example.org,Historia,2
pradocesar@example.org,Terror,1
alejandra88@example.net,Misterio,3
alejandra88@example.net,Deportes,5
vgallardo@example.org,Misterio,4
vgallardo@example.org,Ciencia Ficcion,1
vgallardo@example.org,Terror,4
vgallardo@example.org,Historia,2
bahenaclaudia@example.com,Historia,2
bahenaclaudia@example.com,Animacion,1
bahenaclaudia@example.com,Romance,3
bahenaclaudia@example.com,Accion,5
bahenaclaudia@example.com,Deportes,4
camila94@example.net,Deportes,3
camila94@example.net,Romance,2
camila94@example.net,Documental,1
camila94@example.net,Fantasia,4
camila94@example.net,Drama,3
mendezcarolina@example.com,Animacion,1
mendezcarolina@example.com,Musical,3
mendezcarolina@example.com,Historia,5
mendezcarolina@example.com,Misterio,4
mendezcarolina@example.com,Documental,2
lcruz@example.net,Documental,1
lcruz@example.net,Terror,2
lcruz@example.net,Thriller,2
lcruz@example.net,Accion,4
lcruz@example.net,Animacion,2
xrivas@example.net,Historia,2
xrivas@example.net,Animacion,5
xrivas@example.net,Misterio,2
xrivas@example.net,Aventura,3
xrivas@example.net,Drama,3
mauricio66@example.com,Accion,2
mauricio66@example.com,Thriller,4
mauricio66@example.com,Deportes,4
mauricio66@example.com,Historia,2
espartacobriones@example.com,Ciencia Ficcion,5
espartacobriones@example.com,Romance,5
miriamverduzco@example.net,Musical,4
miriamverduzco@example.net,Terror,4
luciacorona@example.net,Comedia,1
luciacorona@example.net,Thriller,4
luciacorona@example.net,Animacion,2
luciacorona@example.net,Accion,2
luciacorona@example.net,Fantasia,5
ysierra@example.org,Accion,4
ysierra@example.org,Documental,4
ysierra@example.org,Drama,4
ysierra@example.org,Deportes,1
ysierra@example.org,Aventura,2
israelvalles@example.net,Accion,2
israelvalles@example.net,Terror,3
israelvalles@example.net,Misterio,3
aestrada@example.net,Comedia,3
aestrada@example.net,Accion,1
ramonpadilla@example.com,Ciencia Ficcion,4
ramonpadilla@example.com,Terror,2
ramonpadilla@example.com,Comedia,3
ramonpadilla@example.com,Thriller,5
ramonpadilla@example.com,Romance,1
malavewilfrido@example.com,Fantasia,2
malavewilfrido@example.com,Terror,2
malavewilfrido@example.com,Documental,4
bmaldonado@example.org,Misterio,3
bmaldonado@example.org,Animacion,5
xcollazo@example.com,Ciencia Ficcion,4
xcollazo@example.com,Musical,3
xcollazo@example.com,Terror,5
xcollazo@example.com,Romance,1
calderonrosa@example.net,Documental,1
calderonrosa@example.net,Ciencia Ficcion,4
calderonrosa@example.net,Misterio,4
calderonrosa@example.net,Historia,5
gonzaloabrego@example.org,Thriller,2
gonzaloabrego@example.org,Documental,4
gonzaloabrego@example.org,Musical,1
gonzaloabrego@example.org,Misterio,3
gonzaloabrego@example.org,Animacion,5
enrique70@example.net,Deportes,5
enrique70@example.net,Drama,3
enrique70@example.net,Animacion,4
enrique70@example.net,Terror,5
miguel-angel25@example.com,Deportes,3
miguel-angel25@example.com,Historia,5
de-la-rosalorena@example.net,Animacion,4
de-la-rosalorena@example.net,Ciencia Ficcion,3
de-la-rosalorena@example.net,Historia,3
de-la-rosalorena@example.net,Deportes,3
ulloagonzalo@example.net,Ciencia Ficcion,5
ulloagonzalo@example.net,Fantasia,2
ulloagonzalo@example.net,Misterio,3
ulloagonzalo@example.net,Musical,4
gdel-rio@example.org,Accion,1
gdel-rio@example.org,Terror,1
gdel-rio@example.org,Ciencia Ficcion,4
gdel-rio@example.org,Musical,4
zeferino45@example.com,Drama,1
zeferino45@example.com,Accion,5
zeferino45@example.com,Terror,3
zeferino45@example.com,Fantasia,5
zeferino45@example.com,Historia,3
ricardo13@example.net,Deportes,2
ricardo13@example.net,Misterio,2
noemicanales@example.org,Musical,5
noemicanales@example.org,Animacion,3
noemicanales@example.org,Terror,2
noemicanales@example.org,Historia,2
nsolis@example.net,Misterio,5
nsolis@example.net,Ciencia Ficcion,2
nsolis@example.net,Documental,2
anavarro@example.com,Romance,4
anavarro@example.com,Animacion,3
anavarro@example.com,Ciencia Ficcion,1
anavarro@example.com,Aventura,3
anavarro@example.com,Musical,3
victoriavillalobos@example.org,Thriller,2
victoriavillalobos@example.org,Comedia,2
alejandrovaldez@example.org,Thriller,3
alejandrovaldez@example.org,Accion,1
alejandrovaldez@example.org,Drama,4
alejandrovaldez@example.org,Comedia,5
alejandrovaldez@example.org,Romance,4
regaladoenrique@example.net,Misterio,3
regaladoenrique@example.net,Musical,4
alejandro27@example.com,Fantasia,4
alejandro27@example.com,Romance,4
alejandro27@example.com,Misterio,4
alejandro27@example.com,Animacion,2
minervagracia@example.net,Animacion,3
minervagracia@example.net,Terror,4
minervagracia@example.net,Deportes,3
minervagracia@example.net,Ciencia Ficcion,1
susana67@example.com,Accion,2
susana67@example.com,Ciencia Ficcion,2
susana67@example.com,Animacion,2
susana67@example.com,Thriller,2
carrerozeferino@example.org,Comedia,2
carrerozeferino@example.org,Aventura,1
carrerozeferino@example.org,Historia,1
karlaposada@example.org,Fantasia,5
karlaposada@example.org,Aventura,2
